title,price_gbp
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99
Set Me Free,17.46
In Her Wake,12.84
The Four Agreements: A Practical Guide to Personal Freedom,17.66
Sophie's World,15.94
Maude (1883-1993):She Grew Up with the country,18.02
"In a Dark, Dark Wood",19.63
Untitled Collection: Sabbath Poems 2014,14.27
Unicorn Tracks,18.78
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28
This One Summer,19.49
Thirst,17.27
The Torch Is Passed: A Harding Family Story,19.09
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73
Reskilling America: Learning to Labor in the Twenty-First Century,19.83
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61
Princess Between Worlds (Wide-Awake Princess #5),13.34
"Pop Gun War, Volume 1: Gift",18.97
Patience,10.16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44
On a Midnight Clear,14.07
Obsidian (Lux #1),14.86
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92
