title,price_gbp,category_name
A Light in the Attic,51.77,Poetry
Tipping the Velvet,53.74,Historical Fiction
Soumission,50.1,Fiction
Sharp Objects,47.82,Mystery
Sapiens: A Brief History of Humankind,54.23,History
The Requiem Red,22.65,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Default
The Black Maria,52.15,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Default
Shakespeare's Sonnets,20.66,Poetry
Set Me Free,17.46,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Sequential Art
Rip it Up and Start Again,35.02,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Music
Olio,23.88,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Science Fiction
Libertarianism for Beginners,51.33,Politics
It's Only the Himalayas,45.17,Travel
In Her Wake,12.84,Thriller
How Music Works,37.32,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Food and Drink
Chase Me (Paris Nights #2),25.27,Romance
Black Dust,34.53,Romance
Birdsong: A Story in Pictures,54.64,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Default
Aladdin and His Wonderful Lamp,53.13,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Nonfiction
Wall and Piece,44.18,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Nonfiction
The Elephant Tree,23.82,Thriller
The Bear and the Piano,36.89,Childrens
Sophie's World,15.94,Philosophy
Penny Maybe,33.29,Default
Maude (1883-1993):She Grew Up with the country,18.02,Default
"In a Dark, Dark Wood",19.63,Mystery
Behind Closed Doors,52.22,Thriller
You can't bury them all: Poems,33.63,Poetry
Slow States of Collapse: Poems,57.31,Poetry
Reasons to Stay Alive,26.41,Nonfiction
Private Paris (Private #10),47.61,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Nonfiction
Without Borders (Wanderlove #1),45.07,New Adult
When We Collided,31.77,Contemporary
"We Love You, Charlie Freeman",50.27,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Nonfiction
Unicorn Tracks,18.78,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Nonfiction
This One Summer,19.49,Sequential Art
Thirst,17.27,Fiction
The Torch Is Passed: A Harding Family Story,19.09,Add a comment
The Secret of Dreadwillow Carse,56.13,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,Food and Drink
The Past Never Ends,56.5,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,Young Adult
The Nameless City (The Nameless City #1),38.16,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.11,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,Nonfiction
The Death of Humanity: and the Case for Life,58.11,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Health
The Art Forger,40.76,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Nonfiction
Soul Reader,39.58,Default
Security,39.25,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.34,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,History
Patience,10.16,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,Self Help
On a Midnight Clear,14.07,Add a comment
Obsidian (Lux #1),14.86,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,Food and Drink
Masks and Shadows,56.4,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Add a comment
Join,35.67,Science Fiction
In the Country We Love: My Family Divided,22.0,Nonfiction
